question,reference,prediction,contexts,rag_used,rag_similarity_pct,rag_relative_pct,rag_raw_contexts,rouge1,rouge2,rougeL,bleu
What are the symptoms of Frank Ter Haar syndrome ?,"What are the signs and symptoms of Frank Ter Haar syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Frank Ter Haar syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Motor delay 5% Abnormality of cardiovascular system morphology - Anterior concavity of thoracic vertebrae - Bowing of the long bones - Broad clavicles - Broad nasal tip - Buphthalmos - Coarse facial features - Cortical irregularity - Delayed cranial suture closure - Dental malocclusion - Flared metaphysis - Flat occiput - Full cheeks - Gingival overgrowth - Growth delay - High palate - Hip dysplasia - Hypertelorism - Large eyes - Low-set ears - Osteopenia - Osteoporosis - Pectus excavatum - Prominent coccyx - Prominent forehead - Proptosis - Protruding ear - Short long bone - Short phalanx of finger - Talipes equinovarus - Wide anterior fontanel - Wide mouth - Wormian bones - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","The symptoms of Frank Ter Haar syndrome include:

-- Confusion

-- Motor restlessness

-- Tremors","[""49. British Geriatrics Society. Comprehensive Geriatric Assess- 67. Horak FB, Wrisley DM, Frank J. Te Balance Evaluation ment Toolkit for Primary Care Practioners. British Geriatrics Systems Test (BESTest) to diﬀerentiate balance deﬁcits. Phys Society, 2019. Ter 2009; 89: 484–98."", ""This may be frank bleeding depending on the cause. Common causes are:"", ""consequence related to anticoagulation.\n\nFailure to recognize developing serotonin syndrome (e.g., confusion, motor restlessness, tremor) in a resident receiving a SSRI, leading to the addition of medications with\n\nadditive serotonin effect or medication to suppress the symptoms.\n\nFailure to recognize and respond to signs and symptoms of neuroleptic malignant syndrome (NMS).""]",True,"[null, null, null]","[100.0, 92.75124765754678, 82.31055214432452]","[""49. British Geriatrics Society. Comprehensive Geriatric Assess- 67. Horak FB, Wrisley DM, Frank J. Te Balance Evaluation ment Toolkit for Primary Care Practioners. British Geriatrics Systems Test (BESTest) to diﬀerentiate balance deﬁcits. Phys Society, 2019. Ter 2009; 89: 484–98."", ""This may be frank bleeding depending on the cause. Common causes are:"", ""consequence related to anticoagulation.\n\nFailure to recognize developing serotonin syndrome (e.g., confusion, motor restlessness, tremor) in a resident receiving a SSRI, leading to the addition of medications with\n\nadditive serotonin effect or medication to suppress the symptoms.\n\nFailure to recognize and respond to signs and symptoms of neuroleptic malignant syndrome (NMS).""]",0.0559,0.0375,0.0559,0.0
What are the treatments for Tetralogy of Fallot ?,"Tetralogy of Fallot is repaired with open-heart surgery, either soon after birth or later in infancy. The goal of surgery is to repair the four defects of tetralogy of Fallot so the heart can work as normally as possible. Repairing the defects can greatly improve a child's health and quality of life.
                
The pediatric cardiologist and cardiac surgeon will decide the best time to do the surgery. They will base their decision on your baby's health and weight and the severity of the defects and symptoms.
                
Some teenagers or adults who had tetralogy of Fallot repaired in childhood need additional surgery to correct heart problems that develop over time. For more information, go to ""Living With Tetralogy of Fallot.""
                
Types of Surgery
                
Complete Intracardiac Repair
                
Surgery to repair tetralogy of Fallot improves blood flow to the lungs. Surgery also ensures that oxygen-rich and oxygen-poor blood flow to the right places.
                
The surgeon will:
                
Widen the narrowed pulmonary blood vessels. The pulmonary valve is widened or replaced. Also, the passage from the right ventricle to the pulmonary artery is enlarged. These procedures improve blood flow to the lungs. This allows the blood to get enough oxygen to meet the body's needs.
                
Repair the ventricular septal defect (VSD). A patch is used to cover the hole in the septum. This patch stops oxygen-rich and oxygen-poor blood from mixing between the ventricles.
                
Fixing these two defects resolves problems caused by the other two defects. When the right ventricle no longer has to work so hard to pump blood to the lungs, it will return to a normal thickness. Fixing the VSD means that only oxygen-rich blood will flow out of the left ventricle into the aorta.
                
The incision (cut) that the surgeon makes to reach the heart usually heals in about 6weeks. The surgeon or a hospital staff member will explain when it's okay to give your baby a bath, pick him or her up under the arms, and take your baby for regular shots (immunizations).
                
Temporary or Palliative Surgery
                
It was common in the past to do temporary surgery during infancy for tetralogy of Fallot. This surgery improved blood flow to the lungs. A complete repair of the four defects was done later in childhood.
                
Now, tetralogy of Fallot usually is fully repaired in infancy. However, some babies are too weak or too small to have the full repair. They must have temporary surgery first. This surgery improves oxygen levels in the blood. The surgery also gives the baby time to grow and get strong enough for the full repair.
                
For temporary surgery, the surgeon places a tube between a large artery branching off the aorta and the pulmonary artery. The tube is called a shunt. One end of the shunt is sewn to the artery branching off the aorta. The other end is sewn to the pulmonary artery.
                
The shunt creates an additional pathway for blood to travel to the lungs to get oxygen. The surgeon removes the shunt when the baby's heart defects are fixed during the full repair.
                
After temporary surgery, your baby may need medicines to keep the shunt open while waiting for the full repair. These medicines are stopped after the surgeon removes the shunt.",There are two main types of surgery used to treat tetralogy of Fallot. The first type involves repairing the pulmonary stenosis. This procedure is called pulmonary artery repair or pulmonic valve replacement. The second type involves replacing the ventricular septal defect. This procedure is called ventricular septal replacement or ventricular septomy. Both procedures can be performed simultaneously. Surgery may also be done to correct the aortic stenosis.,"[""toes occurs after a long time.\n\nThe following complications are associated with Tetralogy of Fallot:"", ""This is the commonest of the cyanotic group because of a slightly better prognosis in infancy, allowing more of them to survive longer. Classically,\n\nTetralogy of Fallot consists of pulmonary stenosis, ventricular septal defect, dextroposition of the aorta, and right ventricular hypertrophy.""]",True,"[null, null, null]","[100.0, 67.7779485880985, 40.757882685909024]","[""toes occurs after a long time.\n\nThe following complications are associated with Tetralogy of Fallot:"", ""This is the commonest of the cyanotic group because of a slightly better prognosis in infancy, allowing more of them to survive longer. Classically,\n\nTetralogy of Fallot consists of pulmonary stenosis, ventricular septal defect, dextroposition of the aorta, and right ventricular hypertrophy."", ""Including combination Alternate treatments for hypertension are preferred""]",0.1331,0.0423,0.0844,0.0
What is (are) Hypoplastic left heart syndrome ?,"Hypoplastic left heart syndrome (HLHS) is a problem with the hearts structure that is present at birth (congenital). It occurs when parts of the left side of the heart (mitral valve, left ventricle, aortic valve, and aorta) do not develop completely. The underdeveloped left side of the heart is unable to provide enough blood flow to the body, which decreases the oxygen-rich blood supply. Babies with HLHS might look normal at birth, but will develop symptoms of HLHS within a few days. These symptoms might include: poor feeding, problems breathing, pounding heart, weak pulse, and ashen or bluish skin color. The cause of HLHs is presently unknown.","Hypoplastic left heart syndrome is a condition in which the left ventricle of the heart is underdeveloped and does not pump enough blood to meet the body's needs. The heart muscle may also be underdeveloped, resulting in weak pumping ability. This condition usually occurs before birth and is present at birth. It is thought to occur because the left ventricle is formed by cells that do not divide properly during fetal development. The left ventricle is the upper chamber of the heart. The left ventricle pumps oxygenated blood out of the heart to the rest of the body. The right ventricle pumps deoxygenated blood back into the lungs to be cleaned and then pumped out again. In people with hypoplastic left heart syndrome, the left ventricle is smaller than it would be if all the cells were dividing normally. As a result, the left ventricle is underdeveloped and does not pump enough blood to meet the body's needs. The heart chambers may become enlarged as a result of this underdevelopment. The amount of enlargement depends on the size of the ventricular cavity and how much the ventricle has been underdeveloped. The ventricular cavity is the space between the two sides of the heart. The ventricular cavity is filled with fluid. The ventricular cavity becomes larger when the ventricular cavity is underdeveloped. The ventricular cavity becomes smaller when the ventricular cavity has been fully developed. The ventricular","[""Commonly, emboli arise from the left side of the heart, from mural thrombi, vegetations from infected heart valves, or arrhythmias. Paradoxical emboli can\n\narise from venous circulation and access cerebral circulation through right to left cardiac shunts."", ""The congenital cardiac abnormalities that are associated with cyanosis involve shunting of blood from the right side of the heart to the left side. These include"", ""The following general principles should guide the management of congenital heart disease:\n\nParents should be counselled on what can and what cannot be done depending on the heart lesion.\n\nEvaluation and close follow up of affected children are vital for appropriate and effective management.\n\nThe majority of patients having mild CHD require no treatment. Such patients are expected to live normal lives and should not have any exercise restriction.""]",True,"[null, null, null]","[100.0, 95.59424223444488, 87.17013956688204]","[""Commonly, emboli arise from the left side of the heart, from mural thrombi, vegetations from infected heart valves, or arrhythmias. Paradoxical emboli can\n\narise from venous circulation and access cerebral circulation through right to left cardiac shunts."", ""The congenital cardiac abnormalities that are associated with cyanosis involve shunting of blood from the right side of the heart to the left side. These include"", ""The following general principles should guide the management of congenital heart disease:\n\nParents should be counselled on what can and what cannot be done depending on the heart lesion.\n\nEvaluation and close follow up of affected children are vital for appropriate and effective management.\n\nThe majority of patients having mild CHD require no treatment. Such patients are expected to live normal lives and should not have any exercise restriction.""]",0.341,0.1221,0.2254,0.0
How to diagnose Robinow syndrome ?,"Is genetic testing available for Robinow syndrome? Genetic testing for autosomal recessive Robinow syndrome and autosomal dominant Robinow syndrome is available. However, not all people diagnosed with either type of Robinow syndrome have mutations in the genes known to cause these conditions. In these cases, the cause remains unknown. Carrier testing for autosomal recessive Robinow syndrome is possible if the disease-causing mutations have been identified in an affected family member. The Genetic Testing Registry (GTR) provides information about the genetic tests for Robinow syndrome. The intended audience for the GTR is health care providers and researchers. Patients and consumers with specific questions about a genetic test should contact a health care provider or a genetics professional.",The diagnosis of Robinow syndrome is based on the clinical features described above. A diagnosis can be made only after ruling out other conditions that may cause similar symptoms.,"[""difficult to diagnose in HIV-infected patients however."", ""Is easy to diagnose from menstrual history, clinical signs, and ultrasound if"", ""symptoms. The score does not diagnose a mood disorder""]",True,"[null, null, null]","[100.0, 93.63131684142134, 90.19706027131278]","[""difficult to diagnose in HIV-infected patients however."", ""Is easy to diagnose from menstrual history, clinical signs, and ultrasound if"", ""symptoms. The score does not diagnose a mood disorder""]",0.1233,0.0417,0.0822,0.0
What neurotransmitter is involved in muscle contraction?,Acetylcholine is the primary neurotransmitter for muscle contraction.,Neurotransmitter involved in muscle contraction: Acetylcholine (ACh).,"[""o ―Urge Incontinence‖ (overactive bladder) is associated with\n\ndetrusor muscle overactivity (excessive contraction of the smooth muscle in the wall of the urinary bladder resulting in a sudden, strong urge (also\n\nknown as urgency) to expel moderate to large amounts of urine before the bladder is full).\n\n―Urinary Retention‖ is the inability to completely empty the urinary bladder by micturition."", ""Is there evidence that there has been a decline in sampled residents‘ ROM or muscle atrophy that was avoidable?\n\nWas the resident at risk for decline in ROM? If so, why?\n\nWhat care did the facility provide, including routine preventive measures that addressed the resident‘s unique risk factors (e.g., use muscle strengthening\n\nexercises in residents with muscle atrophy)?\n\nWas this care provided consistently?"", ""Tonic-clonic seizures: contraction of muscles, including respiratory muscles (tonic phase), followed by rhythmic\n\njerking of the arms and legs (clonic phase) and loss of consciousness;\n\nMyoclonic seizures: sudden and brief contractions of a muscle or group of muscles;\n\nAtonic seizures: sudden loss of muscle tone, frequently resulting in falls;\n\nAbsence seizures: brief (a few seconds) impairment of consciousness and cessation of activity; most common in children from 4 years of age.""]",True,"[null, null, null]","[100.0, 84.46842648233405, 81.7721223983585]","[""o ―Urge Incontinence‖ (overactive bladder) is associated with\n\ndetrusor muscle overactivity (excessive contraction of the smooth muscle in the wall of the urinary bladder resulting in a sudden, strong urge (also\n\nknown as urgency) to expel moderate to large amounts of urine before the bladder is full).\n\n―Urinary Retention‖ is the inability to completely empty the urinary bladder by micturition."", ""Is there evidence that there has been a decline in sampled residents‘ ROM or muscle atrophy that was avoidable?\n\nWas the resident at risk for decline in ROM? If so, why?\n\nWhat care did the facility provide, including routine preventive measures that addressed the resident‘s unique risk factors (e.g., use muscle strengthening\n\nexercises in residents with muscle atrophy)?\n\nWas this care provided consistently?"", ""Tonic-clonic seizures: contraction of muscles, including respiratory muscles (tonic phase), followed by rhythmic\n\njerking of the arms and legs (clonic phase) and loss of consciousness;\n\nMyoclonic seizures: sudden and brief contractions of a muscle or group of muscles;\n\nAtonic seizures: sudden loss of muscle tone, frequently resulting in falls;\n\nAbsence seizures: brief (a few seconds) impairment of consciousness and cessation of activity; most common in children from 4 years of age.""]",0.5333,0.1538,0.4,0.0
What is the goal of respiratory therapy?,To maintain adequate oxygenation and ventilation while preventing complications.,To improve breathing and increase lung capacity.,"[""service is the set-up time and is to be included in the count of minutes of therapy delivered to the resident.\n\nSet-up may be performed by the therapist, therapy\n\nassistant, or therapy aide.\n\n- Respiratory therapy—only minutes that the respiratory\n\ntherapist or respiratory nurse spends with the resident\n\nshall be recorded on the MDS. This time includes"", ""3. During the observation period Resident S received 10 minutes of respiratory therapy on day one, 7 minutes of respiratory therapy on day four and 13 minutes of respiratory therapy on day five of the observation period. Coding:O0390D would notbechecked. Rationale:Resident S did not receive at least 15 minutes of respiratory therapy on a single day during the observation period."", ""service is the set-up time and is to be included in the count of minutes of therapy delivered to the resident.\n\nSet-up may be performed by the therapist, therapy\n\nassistant, or therapy aide.\n\n- Respiratory therapy—only minutes that the respiratory\n\ntherapist or respiratory nurse spends with the resident\n\nshall count towards the 15 minutes per day on one or more days when coding the MDS. This time includes""]",True,"[null, null, null]","[100.0, 95.04971952131679, 94.81146691713492]","[""service is the set-up time and is to be included in the count of minutes of therapy delivered to the resident.\n\nSet-up may be performed by the therapist, therapy\n\nassistant, or therapy aide.\n\n- Respiratory therapy—only minutes that the respiratory\n\ntherapist or respiratory nurse spends with the resident\n\nshall be recorded on the MDS. This time includes"", ""3. During the observation period Resident S received 10 minutes of respiratory therapy on day one, 7 minutes of respiratory therapy on day four and 13 minutes of respiratory therapy on day five of the observation period. Coding:O0390D would notbechecked. Rationale:Resident S did not receive at least 15 minutes of respiratory therapy on a single day during the observation period."", ""service is the set-up time and is to be included in the count of minutes of therapy delivered to the resident.\n\nSet-up may be performed by the therapist, therapy\n\nassistant, or therapy aide.\n\n- Respiratory therapy—only minutes that the respiratory\n\ntherapist or respiratory nurse spends with the resident\n\nshall count towards the 15 minutes per day on one or more days when coding the MDS. This time includes""]",0.25,0.0,0.25,0.0
How to diagnose Primary lateral sclerosis ?,"How is primary lateral sclerosis diagnosed? There is no single test that confirms a diagnosis of primary lateral sclerosis (PLS). Because the disease can mimic signs and symptoms of other neurological diseases such as multiple sclerosis and amyotrophic lateral sclerosis (ALS), several tests are done to rule out other diseases. After taking a careful record of an individual's medical history and performing a complete neurological examination, a doctor may order the following tests: Blood work. Blood tests are done to check for infections or other possible causes of muscle weakness. Magnetic resonance imaging (MRI) of the brain and spine. An MRI or other imaging tests may reveal signs of nerve cell degeneration and look for other causes of symptoms, such as structural abnormalities, spinal cord compression, multiple sclerosis and spinal cord tumors. Motor and sensory nerve conduction studies. These tests use a low amount of electrical current to test how quickly the nerves carry impulses through the body, and can indicate damage to nerve cells. Electromyogram (EMG). During this test, the doctor inserts a needle electrode through the skin into various muscles. The electrical activity of the muscles is evaluated when they contract and when they're at rest. This test can measure the involvement of lower motor neurons, which can help to differentiate between PLS and ALS. Cerebrospinal fluid (CSF) analysis. An analysis of the CSF, which is taken during a lumbar puncture in the lower back, can help to rule out multiple sclerosis and other causes of spasticity. After other diseases are ruled out, a doctor may make a preliminary diagnosis of PLS. Sometimes doctors wait three to four years before being sure of the diagnosis, because early ALS can look just like PLS until additional symptoms surface a few years later.","The diagnosis of primary lateral sclerosis can be difficult because it often presents with symptoms that are similar to those of other diseases. The most common cause of primary lateral sclerosis is amyotrophic lateral sclerosis (ALS), which is also known as motor neuron disease or motor neuron disease type 2A. However, ALS may occur in people who have no history of ALS or who do not fit the criteria for ALS. In addition, there are many other conditions that can cause similar symptoms. For example, some forms of Alzheimer's disease, Parkinson's disease, and multiple sclerosis can cause similar symptoms. It is important to rule out these disorders before making a diagnosis of ALS. If you suspect that someone has ALS, ask your doctor to perform a physical exam and possibly order imaging tests such as MRI or CT scan.","[""difficult to diagnose in HIV-infected patients however."", ""— Code 06, Progressive Neurological Conditions, if the resident’s primary medical condition category is a progressive neurological condition. Examples include multiple sclerosis and Parkinson’s disease. — Code 07, Other Neurological Conditions, if the resident’s primary medical condition category is other neurological condition. Examples include cerebral palsy, polyneuropathy, and myasthenia gravis. — Code 08, Amputation, if the resident’s primary medical condition category is an amputation. An"", ""Is easy to diagnose from menstrual history, clinical signs, and ultrasound if""]",True,"[null, null, null]","[100.0, 96.0022605216031, 93.63131684142134]","[""difficult to diagnose in HIV-infected patients however."", ""— Code 06, Progressive Neurological Conditions, if the resident’s primary medical condition category is a progressive neurological condition. Examples include multiple sclerosis and Parkinson’s disease. — Code 07, Other Neurological Conditions, if the resident’s primary medical condition category is other neurological condition. Examples include cerebral palsy, polyneuropathy, and myasthenia gravis. — Code 08, Amputation, if the resident’s primary medical condition category is an amputation. An"", ""Is easy to diagnose from menstrual history, clinical signs, and ultrasound if""]",0.3899,0.1152,0.1697,0.0
Is glutathione synthetase deficiency inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",Glutathione synthetase deficiency is an autosomal recessive condition. It occurs when both copies of the gene in each cell have mutations that cause the disorder. The parents of an individual with an autosomal recessive condition typically carry one copy of the mutated gene and do not show signs and symptoms of the condition.,"[""Retinoblastoma Age usually below Skull x-ray Refer to ophthal-\n\n3 years Inherited Urine catecholamines mologist and oncologist"", ""The commonest sign of iron deficiency is anaemia, which is discussed in Section\n\n34.1. Iron deficiency negatively affects cognitive function. A school going child performs poorly at school long before iron deficiency anaemia manifests. Iron deficiency also increases risk of infection."", ""the mother’s life is also in danger.\n\nMost cases are due to iron deficiency as a result of dietary deficiency or blood loss from hookworm infestations. Anaemia is also due to haemolysis due to\n\nmalaria, sickle cell disease, and folate deficiency due to inadequate intake especially in urban areas. Iron deficiency and folic acid deficiency often occur\n\ntogether causing “Dimorphic Anaemia”.""]",True,"[null, null, null]","[100.0, 86.80981918709506, 83.46139518145532]","[""Retinoblastoma Age usually below Skull x-ray Refer to ophthal-\n\n3 years Inherited Urine catecholamines mologist and oncologist"", ""The commonest sign of iron deficiency is anaemia, which is discussed in Section\n\n34.1. Iron deficiency negatively affects cognitive function. A school going child performs poorly at school long before iron deficiency anaemia manifests. Iron deficiency also increases risk of infection."", ""the mother’s life is also in danger.\n\nMost cases are due to iron deficiency as a result of dietary deficiency or blood loss from hookworm infestations. Anaemia is also due to haemolysis due to\n\nmalaria, sickle cell disease, and folate deficiency due to inadequate intake especially in urban areas. Iron deficiency and folic acid deficiency often occur\n\ntogether causing “Dimorphic Anaemia”.""]",0.8077,0.6667,0.7692,0.0
How to diagnose Goodpasture Syndrome ?,"A health care provider may order the following tests to diagnose Goodpasture syndrome: - Urinalysis. Urinalysis is testing of a urine sample. The urine sample is collected in a special container in a health care providers office or commercial facility and can be tested in the same location or sent to a lab for analysis. For the test, a nurse or technician places a strip of chemically treated paper, called a dipstick, into the urine. Patches on the dipstick change color when protein or blood are present in urine. A high number of red blood cells and high levels of protein in the urine indicate kidney damage. - Blood test. A blood test involves drawing blood at a health care providers office or commercial facility and sending the sample to a lab for analysis. The blood test can show the presence of anti-GBM antibodies. - Chest x ray. An x ray of the chest is performed in a health care providers office, outpatient center, or hospital by an x-ray technician, and the images are interpreted by a radiologista doctor who specializes in medical imaging. Abnormalities in the lungs, if present, can be seen on the x ray. - Biopsy. A biopsy is a procedure that involves taking a piece of kidney tissue for examination with a microscope. The biopsy is performed by a health care provider in a hospital with light sedation and local anesthetic. The health care provider uses imaging techniques such as ultrasound or a computerized tomography scan to guide the biopsy needle into the kidney. The tissue is examined in a lab by a pathologista doctor who specializes in diagnosing diseases. The test can show crescent-shaped changes in the glomeruli and lines of antibodies attached to the GBM.","The diagnosis of GPs is based on the clinical presentation and laboratory findings. The following tests may be used:

  * Blood test for proteinuria or hematuria
  * Urine culture
  * Bone marrow biopsy
  * Ultrasound scan of the kidneys

If the results are abnormal, further testing may be needed.","[""difficult to diagnose in HIV-infected patients however."", ""Is easy to diagnose from menstrual history, clinical signs, and ultrasound if"", ""symptoms. The score does not diagnose a mood disorder""]",True,"[null, null, null]","[100.0, 93.63131684142134, 90.19706027131278]","[""difficult to diagnose in HIV-infected patients however."", ""Is easy to diagnose from menstrual history, clinical signs, and ultrasound if"", ""symptoms. The score does not diagnose a mood disorder""]",0.1791,0.036,0.1194,0.0
What are early signs of respiratory failure?,"Shortness of breath (dyspnea), rapid breathing (tachypnea), rapid heart rate (tachycardia), and unusual sweating (diaphoresis).","Early signs include cyanosis, respiratory distress, and elevated jugular venous pressure.","[""<!-- page: 36 -->\n\nlumbar puncture (LP) if meningeal signs or signs of severe bacterial infection or sepsis, or failure of prior antibiotic treatment;\n\nchest x-ray, if available, in case of signs of respiratory disease or severe infection or sepsis.\n\nChildren > 3 months to 2 years with fever without a focus:"", ""Common signs: pallor of the conjunctivae, mucous membranes, palms of hands and soles of feet; fatigue, dizziness, dyspnoea, tachycardia, heart murmur.\n\nSigns of decompensation: cold extremities, altered mental status, oedema in the lower limbs, respiratory distress,\n\nelevated jugular venous pressure, cardiac/coronary failure, shock.\n\nSignificant signs: cheilosis and glossitis (nutritional deficiency), jaundice, hepatosplenomegaly, dark coloured urine"", ""Give oxygen by nasal prongs or catheter until signs of hypoxia disappear (cyanosis or severe respiratory distress) or oxygen saturations are above 90%""]",True,"[null, null, null]","[100.0, 95.50195912636822, 89.38463930809635]","[""<!-- page: 36 -->\n\nlumbar puncture (LP) if meningeal signs or signs of severe bacterial infection or sepsis, or failure of prior antibiotic treatment;\n\nchest x-ray, if available, in case of signs of respiratory disease or severe infection or sepsis.\n\nChildren > 3 months to 2 years with fever without a focus:"", ""Common signs: pallor of the conjunctivae, mucous membranes, palms of hands and soles of feet; fatigue, dizziness, dyspnoea, tachycardia, heart murmur.\n\nSigns of decompensation: cold extremities, altered mental status, oedema in the lower limbs, respiratory distress,\n\nelevated jugular venous pressure, cardiac/coronary failure, shock.\n\nSignificant signs: cheilosis and glossitis (nutritional deficiency), jaundice, hepatosplenomegaly, dark coloured urine"", ""Give oxygen by nasal prongs or catheter until signs of hypoxia disappear (cyanosis or severe respiratory distress) or oxygen saturations are above 90%""]",0.0769,0.0,0.0769,0.0
What is (are) Non-involuting congenital hemangioma ?,"Non-involuting congenital hemangioma (NICH) is a rare type of infantile hemangioma, which is a tumor that forms from the abnormal growth of blood vessels in the skin. NICH looks like an oval, purplish mark or bump that can occur on any part of the body. NICH is present from birth (congenital) and increases in size as the child grows. Unlike other hemangiomas, NICH do not disappear spontaneously (involute).","A non-involuting congenital hemangioma is a benign tumor that forms from abnormal blood vessels. It usually occurs in infants or young children but may occur at any age. The tumor grows slowly and does not cause symptoms. In some cases, it may grow into surrounding tissues and form a mass called an angiomyolipoma. This type of tumor is more common in girls than boys.","[""What assistance they provide if the resident participates in any individual (non-"", ""The following general principles should guide the management of congenital heart disease:\n\nParents should be counselled on what can and what cannot be done depending on the heart lesion.\n\nEvaluation and close follow up of affected children are vital for appropriate and effective management.\n\nThe majority of patients having mild CHD require no treatment. Such patients are expected to live normal lives and should not have any exercise restriction."", ""Continue to take interest in what the child feeds on even in the school years.\n\nMothers should know that the children are likely to have poor school performance if not fed well.\n\nAvoid over feeding and limit non nutritious snacks, especially if the child is overweight.""]",True,"[null, null, null]","[100.0, 99.24617934656251, 87.74544243227213]","[""What assistance they provide if the resident participates in any individual (non-"", ""The following general principles should guide the management of congenital heart disease:\n\nParents should be counselled on what can and what cannot be done depending on the heart lesion.\n\nEvaluation and close follow up of affected children are vital for appropriate and effective management.\n\nThe majority of patients having mild CHD require no treatment. Such patients are expected to live normal lives and should not have any exercise restriction."", ""Continue to take interest in what the child feeds on even in the school years.\n\nMothers should know that the children are likely to have poor school performance if not fed well.\n\nAvoid over feeding and limit non nutritious snacks, especially if the child is overweight.""]",0.403,0.1364,0.3134,0.0
What are the symptoms of Potassium aggravated myotonia ?,"What are the signs and symptoms of Potassium aggravated myotonia? The Human Phenotype Ontology provides the following list of signs and symptoms for Potassium aggravated myotonia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) EMG abnormality 90% Flexion contracture 90% Hypertonia 90% Myalgia 90% Myotonia 90% Chest pain 50% Feeding difficulties in infancy 50% Gait disturbance 50% Abnormality of the nose 7.5% Abnormality of the voice 7.5% Asthma 7.5% Cognitive impairment 7.5% Elevated serum creatine phosphokinase 7.5% Epicanthus 7.5% Hyperkalemia 7.5% Hyperlordosis 7.5% Hypothyroidism 7.5% Limitation of joint mobility 7.5% Long philtrum 7.5% Muscle weakness 7.5% Muscular edema 7.5% Myopathy 7.5% Ophthalmoparesis 7.5% Paresthesia 7.5% Respiratory insufficiency 7.5% Short neck 7.5% Short stature 7.5% Skeletal muscle atrophy 7.5% Skeletal muscle hypertrophy 7.5% Apneic episodes in infancy - Autosomal dominant inheritance - Muscle stiffness - Stridor - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",The main symptom is a sudden onset of muscle weakness. The weakness usually begins suddenly after waking up from sleep or during physical activity. It can also occur when lying down for an extended time. The weakness often affects only one side of the body. The weakness usually improves within 5 minutes but may last several hours. The weakness is not always severe enough to require hospitalization.,"[""Acute malnutrition, provoked or aggravated by measles (post-measles period)\n\nPneumonia and dehydration are the most common immediate causes of death."", ""deafness. Nocturnal enuresis, habit tics, and night terrors may be aggravated."", ""1. What are the medical symptoms that led to the consideration of the use of restraints?\n\n2. Are these symptoms caused by failure to:\n\na. Meet individual needs in accordance with the resident assessments?\n\nb. Use rehabilitative/restorative care?\n\nc. Provide meaningful activities?\n\nd. Manipulate the resident‘s environment, including seating?\n\n3. Can the cause(s) of the medical symptoms be eliminated or reduced?""]",True,"[null, null, null]","[100.0, 88.0716045494437, 86.74012472583951]","[""Acute malnutrition, provoked or aggravated by measles (post-measles period)\n\nPneumonia and dehydration are the most common immediate causes of death."", ""deafness. Nocturnal enuresis, habit tics, and night terrors may be aggravated."", ""1. What are the medical symptoms that led to the consideration of the use of restraints?\n\n2. Are these symptoms caused by failure to:\n\na. Meet individual needs in accordance with the resident assessments?\n\nb. Use rehabilitative/restorative care?\n\nc. Provide meaningful activities?\n\nd. Manipulate the resident‘s environment, including seating?\n\n3. Can the cause(s) of the medical symptoms be eliminated or reduced?""]",0.1359,0.0146,0.0825,0.0
